puntaje,reseña
7,"+ Tiny Towns: FLGS and Larkstone Promo Cards

+ Sleeved
Resource Cards (15) - Premium Mayday Card Sleeves: 63.5x88mm
Building and Monument Cards - Premium Mayday Card Sleeves: 70x120mm

+ Wooden Game Insert from TheShipshapeGamer"
7,"Played solo and four players' games, feel like a fun and quick collection game, where you need to have similar strategy with others"
7.8,"EURO - Rules are simple but still an enjoyable, quaint, and satisfying little game that doesn't overstay it's welcome. It's really a game about space management. The variety of the building cards ensures re-playability. The family is always happy to play it and we never seem to get tired of it."
6.8,Did not like the abstract game. Really nice theme that never shines through with actual gameplay.
5,"I bought this game because I have heard many good things about the solo play. I tried the solo play more than 5 times, and I didn't like it. Using the deck to determine resources made me kind of crazy - I could see how some people would enjoy it and be very strategic about it though. I've played it with my partner a couple of times (2p) and he straight up doesn't like it, and I'm not a big fan either. It is a beautiful game though. I absolutely LOVE all the adorable wooden buildings. The artwork is so cute. I rated it 5/10 because that's how I feel about it, but the quality of the game is 10/10 and the gameplay is good, it's just not for me."
6,"A delightful and meditative town builder with Tetris elements the puzzles the brain and is a lot more ruthless than it feels, which allows lots of people to play."
7,"On the first play, I enjoyed Tiny Towns moderately. I was playing with three who had played many times, and it looked to me like they had established a very planned approach to building their town, and I wonder if the game becomes very scripted for people the more they play? Second play was a two player game and we both made several placement mistakes throughout the game."
9,"Only solo plays for now, but the quick puzzle is a really nice break. I really need to pick up a good insert to make setup faster as it seems to take as long to get ready as to play."
7,"Popular with the ladies and the babies. Fun with kids much younger than the recommended age, but still rewards some mindful polyomino-type resource placement. Short, but doesn't leaving me wishing it went on longer. The variant rules are more chaotic.
(Traded for The Quest For El Dorado)"
6,Good game but the number of factors to account for when deciding placement makes it too much a brain burner for a short game.
8,Excellent light game. Fun pieces. Easy to learn. Good choice for a casual game with people who aren't intense gamers or who just want to relax and have a social game.
7,"A fun, tetris-y type of game that has a bit of randomness based on which resources appear when (often not when you want them), but presents an interesting puzzle in figuring out how to maximize points based on where each building is constructed in your Tiny Town."
6,"Similar feel to Quadropolis and a little Kingdomino. Good gateway game. Simple, intuitive rules"
9.5,"I did an online play through using just a piece of paper with a grid & some cubes and really, really enjoyed it! So I bought the game.

I had wanted to try it out for a while, but was not sure how it would feel to have the ""wrong"" resource get chosen, but really the fun was absolutely in making the ones you got work for you, and pivoting as things changed"
7.1,"Simple game, easy to teach but plenty of decision making room to make for a fun game. I'd have no issues suggesting someone add this game to their collection and often find myself suggesting this game with new gamers or more experienced gamers that want a quick enjoyable experience."
8,"A lovely little game! Easy to learn, tough to master. It also has great graphic design and art and has high replay value due to the variety of cards and their interactions. The main negative is the stupidly large box and insert; this box could probably be half the size. Overall, a definite keeper in my collection."
8,Played solo. A fun little experience! I love a good simple spatial puzzle and this provides in spades!
7,"Delightful and original game. The rules are relatively easy but the gameplay offers some very think puzzles as you figure out where to put the next block or building. It plays quickly with lots of variety in the various cards. Can be played pretty cutthroat, but either way, a lot of fun."
9,"Easy to learn, with an “easy” mode to start or to teach others, but hard to master, with many changing strategies. This game is wonderful!"
7,"I've realized that this is what I want most roll-and-write's to be. Of course, this ISN'T a roll-and-write (no rolling or writing), but managing/anticipating (and mitigating) elements otherwise out of your control is interesting. It's just more interesting when you have information to go on and when you can make educated guesses as to the coming tide. For such a super simple and super quick game, there are always plans to be made, layers to consider and incentives to balance. I might very well be deceived into thinking this is deeper than it actually is, but I'm ready to explore further. It works with gamers and with the family. And it's easy enough to teach to grandma. High utility here."
8,"Complete. Like new. Includes BGG Silk bags, laminated scoresheet. Laminated Cave cards (Fan created), FLGS & Larkstone Promo Cards."
8,"March 2021

Last picked 3/21, last played 12/20

November 2020
BoardGameCo $22"
,"Jeu de stratégie : Développement & Construction

Construisez votre petite ville en choisissant judicieusement vos ressources et en subissant le choix des autres.

Mots clés :
Durée : 45 - 60 min
Nb de joueurs : 1 à 5 joueurs"
7.5,Good spatial puzzle with a nice variety to the game with the random draw of a card (from a set of 4) for each building.
7,Game group doesn't like this and the 1st expansion is weak.
,"good buzz. Rahdo likes alot & proffers Azul killer. On light side like Azul, so maybe skip? Jamey frustrated with shape mechanic.
Bought $22"
7,Needs more variety but the expansions are just so expensive for what they add.
6,"I want this to be better at the 2p count, but I don't think wishing will make it true. Kingdomino 7x7 is probably the better choice for that. However, this is a fun spatial solo puzzle and also a nice family-weight 3 or 4p game. Offers a similar ""what am I going to do with this piece?"" problem that Azul does, but is missing the tile selection elegance of Azul.

I really like what Tiny Towns is trying to do, but the random building draw can often feel unbalanced the way a Dominion random card draw does where you don't even bother with certain buildings."
8,Fun abstract game that I played at Gencon. I would really like to play this again.
7,"Have only played it once. Seems like a neat puzzle game. There looks to be a variety of possible scoring criteria, which should result in good replayability."
,"Nope, not for us. The central cards have a sort-of dominion feel: see what's there and figure out your combos? But then the spatial game fell flat... MUCH rather play patchwork (or Second Chance... or.... or). And the rhythm of calling resources? Bit dull."
9,"Quick and easy to teach. There's some competitiveness in trying to figure out which resources the other players will call, which make the game more than just a collaborate puzzle. One of my few complaints is that the special buildings aren't very balanced."
7,"A great abstract for families. This game can be as nice or mean as you'd like. Calling the resources can be simply saying the one you need or one can eye what others aren't needing and call that if it still benefits you. Really nice decisions and variability.

Initial Score: 8"
6.5,Crunchy and somewhat chess-like despite having separate boards. I’m interested to see how this plays with 3+ players.
8,Really engaging and thinky. love the components and the variants with rules. Can be interactive or multiplayer solitaire (which I like).
6,"Fun enough cube selection point salad affair with a town theme veneer. The point scoring is finnicky to me, but i'll play."
7.5,Really good. Every turn is a fun little puzzle to solve. Also a very VERY good game for non gamers. Anyone can pick this up and enjoy it.
6,"TRADED AWAY - I liked the tetris aspect. played it solo a few times, and it didn't have the longevity. Group wasn't wowed or thought ""fun"" while playing. I'd pick It's a wonderful world over this for something equivalent"
5,"Played back in 2019. The more I thought about it, the less I like it. I'll play it but you will never see me ask for it."
6,"interesting puzzle that gets restrictive real quick. works well for 6-players, but i can see how 2-players might turn into a chess match slog (or else a knife fight in a phonebooth, whichever better fits the couple). happy to play occasionally, but maybe not twice in a row. not purchased.

how much do i wish a replay? (condensed)...
10. - 9.6 = sunlight!! my identity as a gamer
9.5 - 8.6 = hot! hope to explore depth of!
8.5 - 7.6 = bright. actively seeking replay
7.5 - 6.6 = dimming. passively welcome plays
6.5 - 4.6 = done. play if good company requests
4.5 - 1.0 = reluctance > filibuster > evacuation"
6,"Initial reaction was that this game was terrible. The rules for a normal game tend to really reduce how much individuality goes into a town, since players take turns naming a communal resource that everyone gets one piece of and places. Most people get into the same mindspace and just go for the same buildings at the same time (what's that? you got stone? my turn to choose, guess I'll pick wood so I can build a fountain. turns out everyone else just builds the same fountain at that point too) so towns end up really samey and scores end up just being who built in a slightly better position than the other. Not to mention, the cards recommended for a first playthrough are incredibly bland, especially when all used at the same time. However, we decided to give it another shot and played using the Town Hall rules which introduced a random deck to decide which resource players get for 2 rounds, then each player independently chooses a resource for every third round. This spiced up the game so much, it got to the point where I pulled it out of the ""to sell"" box, and it took the game from something that was a boring snoozefest to something that I was actually proud to own. These rules, on top of some new, more exciting building cards, felt like a much better first impression I would want to give someone when playing this game. This makes me question why on earth the other way of playing is considered the standard rules? And why restrict the game so much by giving such bland cards for the first playthrough? Regardless, glad I decided to keep it, but it loses a point for the inevitable terrible first impression if one plays according to the first half of the rulebook."
7,Completely different experience between player counts. 2-3 is far more strategic while 4+ tends to be more tactical. The game provides a system to mitigate this effect at higher player counts and it works well.
6,"It’s ok. The Tetris-like board placement is fine, but also quite random and not that interesting. I would play this with someone who really wanted to play it, but I wouldn't seek it out."
8,"Probably will be better with more players, but still good game for two. Nice puzzle challenge."
7,"This is a good game (for a few plays), it gives a strong feeling of Tetris-like placement with resources that are converted into buildings. However, the game can be very thinky. Perhaps my biggest complaint is that those that over-analyze the game will take very long turns and certain long-play strategies appear to be rewarded too much in my opinion.

Over my last few plays, certain strategies have also emerged that make playing the game for new players difficult while veteran players will have a strong advantage.

It also seems silly you could quite possibly copy every move another player makes.

For me these things all lower this game quite a bit, from my original rating of 9 to 7."
8,"Fun puzzle, relatively easy to teach. Needs more plays to give honest review."
3,"My wife and I didn't find this interesting at all.
We played it a few times and didn't enjoy it all.
The concept and small board was a disappointment.
Will be selling it...."
7.5,Fun quick resource placement game. Fast play coupled with some thoughtful decisions which I absolutely love. Setup was almost as long as the first game (slightly jest...) so would highly suggest bagging components.
6,"Teaching time: 5 minutes
Playing time: 20-30 minutes

Loveable, accessible, and yet retains plenty of sharp edges if you play calling every resource. The builder deck converts it to a true roll-and-write puzzle with no interaction, and facilitates fun solitaire play. I wish the box were half the size for this style of game, though.

Sold November 2020"
7.5,"Careful decision making on a tight grid. How do you start constructing? How do you set yourself up for future buildings? What do you want to focus on building and scoring? Grueling decisions, satisfying payoff, and a quick playtime all add to this one's cutesy charm."
8,"Delightful! Love the interaction for what is essentially a solo puzzle and the tension of trying to fit everything you want to do on that tiny board. Expansions really make this one shine.

Ducal Scale: 5/6"
9,We love the strategic aspect of this game! It really makes you think several turns ahead!
7,Light game of resource placement. The difficulty is in building patterns from other players picks which take up more room than when you cash the resources into the actual building. You might need 5 spaces for a building and then it condenses down to 1 when you build it. You'll often run into a jam and have to pivot your plans. It's super light but light enjoy to enjoy as a gateway game. Each building has specific scoring requirements and you'll often find yourself not being able to place them to score or kicking yourself in a corner. It's enough puzzle for about 30m with two players. The resource deck makes it so no players get to pick if you want more randomness. I am not sure about the long term replay ability outside of casual type of game during the weekday for us.
9,"Another Our Family Plays Games recommend. A good two player game, we had a good time with it and it is not difficult to learn. I hear mixed reviews of this one. I think if you like polynomial games you will like this one."
8,Wonderful family game with a fair amount of strategy to keep everyone in the action.
8,Great family weight game that is surprisingly difficult at times to do well at.
8,"A very good short game that my entire family enjoys playing. The geometric placement of resources and decision making for placing buildings is excellent educationally for children. The art and graphic layout is superb and really add to the game. The downside is that some of the more complex buildings are not worth enough to build instead of the smaller ones. But currently, this game is being played a lot!"
8.5,"Solid game. It's a much tougher game than the cute exterior would suggest, however. Not recommended for younger children."
,"Bingo
Follow
Grid Coverage
Pattern Building
Solo / Solitaire Game
Turn Order: Progressive
Variable Phase Order"
7,Got this game on Mike's recommendation. Great game. Feels a bit like Cartographers and this other game that I can't remember.
7.5,"Nice, puzzley game. After looking into the expansions, I don't think the game needs the added rules to be a winner. In fact I think the added rules take away from the strategy of the game.

The new cards in the expansions are the only thing I'd be interested in."
6.5,"A bit of a disappointment. My rating is somewhat coloured by my partner's experience of the game, since she has not at all enjoyed her plays of the game. This seemed an obvious choice given our love for similar weight titles with similar mechanics - Reef, Scarabya, Kingdomino, and the like - but the spacial puzzle element is too pure. Navigating around each other's choice of resources doesn't feel like a small detour in plans but rather like running straight into a barricade. The puzzle is neither interesting enough to warrant keeping around for solo play."
7.5,"A fun puzzle game. Reminds me of Sagrada, as your limited in a small grid to accomplish certain goals which are randomized each game.

I prefer to play solo, or up to 3 max.

I highly recommend adding the $$/coins varient added in the expansion (easy to implement without owning the expansion). Basically, if you build 2 buildings at the same time, you take a coin. Coins can be spent to change a resource to any type, or saved for VP end-game. This fixed a lot of the issues I had with how limiting the base game is, while also adding some complexity, building 2 buildings at once as many times as possible."
7.5,Another one enjoyed by my wife. She loves the puzzly stuff.
8,"This is a fun, quick game where there is plenty of player interaction. You'll take turns calling out resources and placing them in the right shape on their town boards til they've completed whichever building they were making. It can be challenging to deal with all the resources other people are calling out that you don't want while still trying to plan ahead your overall city layout. Chaos can definitely thrive at times, but I have really enjoyed this game at all player counts."
8,We play it two-player most often; can get a little hectic/random with more players
6.5,"Theme: Town building
Gameplay: Drafting different colored blocks to construct patterns in your town to maximize scoring
Components: Colorful, simple, good.
Replayability: Light but very satisfying
Rulebook:"
,Looks good - watch actual play through to get better feel
4,"I purchased this game to be a potential solo game as well as a fun game for two or three to play. We played it three times before we realized the game is extremely repetitive. The majority of the time, the player that won would build cottages, their monument, whatever the red building was, and a few of the gray small buildings. The only time this player didn't win was when the green building offered 20+ points, then they would win by playing those. I wanted to like this game because it looks very nice and can be an interesting puzzle, but after playing it a few times my friends and I were bored. I returned it to Amazon. Additionally, it did not have the complexity I was looking for, and I would fly through solo and two-player games. Highly overrated game IMO."
6,"Interesting game trying to complete small patterns on your board to collect buildings for points. The mechanic where you have to take the same cube as each player on their turn makes it tricky and difficult. Planning what you want to do can be sidetracked fairly easily by what other players select and the board is so small it feels very restrictive. There are lots of personal goal cards and different building cards to add replayability to the game. Decent game but no desire to own it,"
